FeedbackID,CustomerID,Rating,SubmittedDate
FDB4000,CUST1000,1,2023-01-01
FDB4001,CUST1001,1,2023-01-04
FDB4002,CUST1002,3,2023-01-07
FDB4003,CUST1003,4,2023-01-10
FDB4004,CUST1004,2,2023-01-13
FDB4005,CUST1005,1,2023-01-16
FDB4006,CUST1006,2,2023-01-19
FDB4007,CUST1007,4,2023-01-22
FDB4008,CUST1008,4,2023-01-25
FDB4009,CUST1009,5,2023-01-28
FDB4010,CUST1010,4,2023-01-31
FDB4011,CUST1011,3,2023-02-03
FDB4012,CUST1012,1,2023-02-06
FDB4013,CUST1013,5,2023-02-09
FDB4014,CUST1014,3,2023-02-12
FDB4015,CUST1015,2,2023-02-15
FDB4016,CUST1016,1,2023-02-18
FDB4017,CUST1017,4,2023-02-21
FDB4018,CUST1018,1,2023-02-24
FDB4019,CUST1019,2,2023-02-27
FDB4020,CUST1020,5,2023-03-02
FDB4021,CUST1021,5,2023-03-05
FDB4022,CUST1022,5,2023-03-08
FDB4023,CUST1023,4,2023-03-11
FDB4024,CUST1024,3,2023-03-14
FDB4025,CUST1025,3,2023-03-17
FDB4026,CUST1026,1,2023-03-20
FDB4027,CUST1027,4,2023-03-23
FDB4028,CUST1028,5,2023-03-26
FDB4029,CUST1029,5,2023-03-29
FDB4030,CUST1030,2,2023-04-01
FDB4031,CUST1031,2,2023-04-04
FDB4032,CUST1032,5,2023-04-07
FDB4033,CUST1033,5,2023-04-10
FDB4034,CUST1034,4,2023-04-13
FDB4035,CUST1035,3,2023-04-16
FDB4036,CUST1036,2,2023-04-19
FDB4037,CUST1037,3,2023-04-22
FDB4038,CUST1038,4,2023-04-25
FDB4039,CUST1039,5,2023-04-28
FDB4040,CUST1040,3,2023-05-01
FDB4041,CUST1041,5,2023-05-04
FDB4042,CUST1042,5,2023-05-07
FDB4043,CUST1043,1,2023-05-10
FDB4044,CUST1044,3,2023-05-13
FDB4045,CUST1045,3,2023-05-16
FDB4046,CUST1046,5,2023-05-19
FDB4047,CUST1047,4,2023-05-22
FDB4048,CUST1048,1,2023-05-25
FDB4049,CUST1049,5,2023-05-28
FDB4050,CUST1050,2,2023-05-31
FDB4051,CUST1051,2,2023-06-03
FDB4052,CUST1052,1,2023-06-06
FDB4053,CUST1053,4,2023-06-09
FDB4054,CUST1054,5,2023-06-12
